Variable,AL-1,AL-2,AL-3,AL-4,AL-5,AL-6,AL-7,AK-0,AZ-1,AZ-2,AZ-3,AZ-4,AZ-5,AZ-6,AZ-7,AZ-8,AZ-9,AR-1,AR-2,AR-3,AR-4,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,CA-21,CA-22,CA-23,CA-24,CA-25,CA-26,CA-27,CA-28,CA-29,CA-30,CA-31,CA-32,CA-33,CA-34,CA-35,CA-36,CA-37,CA-38,CA-39,CA-40,CA-41,CA-42,CA-43,CA-44,CA-45,CA-46,CA-47,CA-48,CA-49,CA-50,CA-51,CA-52,CO-1,CO-2,CO-3,CO-4,CO-5,CO-6,CO-7,CO-8,CT-1,CT-2,CT-3,CT-4,CT-5,DE-0,DC-98,FL-1,FL-2,FL-3,FL-4,FL-5,FL-6,FL-7,FL-8,FL-9,FL-10,FL-11,FL-12,FL-13,FL-14,FL-15,FL-16,FL-17,FL-18,FL-19,FL-20,FL-21,FL-22,FL-23,FL-24,FL-25,FL-26,FL-27,FL-28,GA-1,GA-2,GA-3,GA-4,GA-5,GA-6,GA-7,GA-8,GA-9,GA-10,GA-11,GA-12,GA-13,GA-14,HI-1,HI-2,ID-1,ID-2,IL-1,IL-2,IL-3,IL-4,IL-5,IL-6,IL-7,IL-8,IL-9,IL-10,IL-11,IL-12,IL-13,IL-14,IL-15,IL-16,IL-17,IN-1,IN-2,IN-3,IN-4,IN-5,IN-6,IN-7,IN-8,IN-9,IA-1,IA-2,IA-3,IA-4,KS-1,KS-2,KS-3,KS-4,KY-1,KY-2,KY-3,KY-4,KY-5,KY-6,LA-1,LA-2,LA-3,LA-4,LA-5,LA-6,ME-1,ME-2,MD-1,MD-2,MD-3,MD-4,MD-5,MD-6,MD-7,MD-8,MA-1,MA-2,MA-3,MA-4,MA-5,MA-6,MA-7,MA-8,MA-9,MI-1,MI-2,MI-3,MI-4,MI-5,MI-6,MI-7,MI-8,MI-9,MI-10,MI-11,MI-12,MI-13,MN-1,MN-2,MN-3,MN-4,MN-5,MN-6,MN-7,MN-8,MS-1,MS-2,MS-3,MS-4,MO-1,MO-2,MO-3,MO-4,MO-5,MO-6,MO-7,MO-8,MT-1,MT-2,NE-1,NE-2,NE-3,NV-1,NV-2,NV-3,NV-4,NH-1,NH-2,NJ-1,NJ-2,NJ-3,NJ-4,NJ-5,NJ-6,NJ-7,NJ-8,NJ-9,NJ-10,NJ-11,NJ-12,NM-1,NM-2,NM-3,NY-1,NY-2,NY-3,NY-4,NY-5,NY-6,NY-7,NY-8,NY-9,NY-10,NY-11,NY-12,NY-13,NY-14,NY-15,NY-16,NY-17,NY-18,NY-19,NY-20,NY-21,NY-22,NY-23,NY-24,NY-25,NY-26,NC-1,NC-2,NC-3,NC-4,NC-5,NC-6,NC-7,NC-8,NC-9,NC-10,NC-11,NC-12,NC-13,NC-14,ND-0,OH-1,OH-2,OH-3,OH-4,OH-5,OH-6,OH-7,OH-8,OH-9,OH-10,OH-11,OH-12,OH-13,OH-14,OH-15,OK-1,OK-2,OK-3,OK-4,OK-5,OR-1,OR-2,OR-3,OR-4,OR-5,OR-6,PA-1,PA-2,PA-3,PA-4,PA-5,PA-6,PA-7,PA-8,PA-9,PA-10,PA-11,PA-12,PA-13,PA-14,PA-15,PA-16,PA-17,RI-1,RI-2,SC-1,SC-2,SC-3,SC-4,SC-5,SC-6,SC-7,SD-0,TN-1,TN-2,TN-3,TN-4,TN-5,TN-6,TN-7,TN-8,TN-9,TX-1,TX-2,TX-3,TX-4,TX-5,TX-6,TX-7,TX-8,TX-9,TX-10,TX-11,TX-12,TX-13,TX-14,TX-15,TX-16,TX-17,TX-18,TX-19,TX-20,TX-21,TX-22,TX-23,TX-24,TX-25,TX-26,TX-27,TX-28,TX-29,TX-30,TX-31,TX-32,TX-33,TX-34,TX-35,TX-36,TX-37,TX-38,UT-1,UT-2,UT-3,UT-4,VT-0,VA-1,VA-2,VA-3,VA-4,VA-5,VA-6,VA-7,VA-8,VA-9,VA-10,VA-11,WA-1,WA-2,WA-3,WA-4,WA-5,WA-6,WA-7,WA-8,WA-9,WA-10,WV-1,WV-2,WI-1,WI-2,WI-3,WI-4,WI-5,WI-6,WI-7,WI-8,WY-0,72-98
"Total Population","","","","","","","","","804256","","","","857744","813933","","800203","","","","","","","743918","788130","","","747786","","","","746449","701735","734171","","","721009","748899","744019","","725878","","","","","761285","","","736850","746863","","745825","","760602","","714948","","742266","735660","","","755867","811664","","","","","","754022","740583","751418","781251","748700","","722087","721783","","","","730351","726989","","716454","730400","726058","721814","722450","1031890","678972","","799012","","","837211","","","817216","","784303","843676","843806","767679","784928","828431","850603","851634","","809197","","820276","773713","780374","772726","779002","","","","","","","764506","774627","797492","778113","","","","","","","","","","","955765","","","","","754102","725829","732352","730604","742949","746076","","","","","","","","","","","778072","","","","","","798244","","","","","","749221","","","","","","","","","","","","","","","","","767891","778152","","812172","799719","","771551","","798884","767022","783039","776923","","744098","791775","","786329","","","","","764009","781761","","769261","769945","769154","740559","773276","","733289","699786","699739","702050","","","","","","","","","764420","","","","","","","","","","","","788277","793631","796395","","","704274","777528","","782374","","767729","766057","778678","","770658","","775849","770752","","","","775252","777290","760691","767277","","706077","720452","740016","725054","719080","753280","734996","726044","","","765060","772624","784352","769461","783546","767195","762999","764335","","766396","768744","","784882","","","","","","","","","","772165","799277","790986","","","","784597","","","","769701","","","","772345","","781848","","","812132","","","","","710371","","","710184","","","","","768800","781948","757986","777885","","764570","","781862","","752466","","","","","749982","","","","","","","","","","","","","","","","","","","","","","872647","845835","","","809564","","","","","","","","","","","","","","","","","784279","","","","","","","","","","","","","765870","","","","","","","814127","789864","773212","796240","","794509","","769124","","805856","783583","786950","781299","","","","785859","773546","778099","765854","773712","","","","","","719795","","","","","",""
"Afghan","","","","","","","","","144","","","","14","134","","570","","","","","","","563","477","","","15312","","","","7881","610","1322","","","34","525","2935","","156","","","","","100","","","615","1004","","371","","3211","","850","","318","879","","","1478","1760","","","","","","1011","1193","501","3581","4342","","844","100","","","","2225","84","","0","0","1214","48","0","13","762","","0","","","1449","","","0","","0","0","0","141","101","0","0","0","","192","","0","55","0","0","0","","","","","","","3023","933","0","873","","","","","","","","","","","946","","","","","162","0","64","1051","3149","0","","","","","","","","","","","0","","","","","","0","","","","","","1206","","","","","","","","","","","","","","","","","373","374","","0","374","","687","","354","119","228","0","","628","0","","35","","","","","146","200","","0","0","0","381","90","","0","1280","241","0","","","","","","","","","907","","","","","","","","","","","","0","826","198","","","91","511","","209","","589","0","0","","0","","1310","0","","","","526","0","2962","649","","1087","70","0","0","0","378","74","36","","","158","0","20","253","41","0","0","0","","817","1517","","362","","","","","","","","","","0","0","1515","","","","364","","","","0","","","","55","","473","","","524","","","","","983","","","0","","","","","0","341","0","0","","0","","370","","573","","","","","175","","","","","","","","","","","","","","","","","","","","","","646","514","","","3444","","","","","","","","","","","","","","","","","68","","","","","","","","","","","","","197","","","","","","","693","0","121","1103","","606","","5787","","11019","5090","1080","1662","","","","0","0","527","3150","1343","","","","","","0","","","","","",""
"Albanian","","","","","","","","","685","","","","43","342","","1946","","","","","","","201","0","","","0","","","","0","0","0","","","0","283","0","","0","","","","","0","","","93","336","","139","","119","","0","","52","0","","","289","14","","","","","","50","438","261","244","307","","0","85","","","","130","0","","2779","680","2485","1505","1599","219","677","","191","","","1782","","","0","","595","0","390","2278","863","438","1368","191","","2267","","1030","436","537","0","0","","","","","","","0","88","265","675","","","","","","","","","","","247","","","","","1252","1454","561","2746","2828","186","","","","","","","","","","","40","","","","","","268","","","","","","0","","","","","","","","","","","","","","","","","223","241","","347","650","","579","","4577","547","599","1756","","1525","4456","","191","","","","","2073","2561","","3033","9230","3457","2343","1617","","0","465","0","373","","","","","","","","","1019","","","","","","","","","","","","24","0","1499","","","241","480","","1028","","5518","270","917","","6771","","1905","1740","","","","876","725","763","3188","","2878","1661","1238","3290","2347","12320","596","2688","","","7503","2635","631","203","731","125","745","495","","301","164","","0","","","","","","","","","","693","101","379","","","","186","","","","1837","","","","768","","118","","","0","","","","","115","","","0","","","","","123","1196","2320","2328","","173","","161","","932","","","","","93","","","","","","","","","","","","","","","","","","","","","","45","132","","","227","","","","","","","","","","","","","","","","","148","","","","","","","","","","","","","126","","","","","","","0","202","24","44","","22","","1959","","220","614","213","138","","","","0","59","0","199","286","","","","","","78","","","","","",""
"Alastian","","","","","","","","","42","","","","0","42","","0","","","","","","","0","45","","","0","","","","0","47","111","","","0","0","0","","183","","","","","0","","","0","0","","0","","0","","0","","276","0","","","0","18","","","","","","0","0","0","0","0","","0","72","","","","41","0","","0","0","0","50","55","0","0","","0","","","0","","","0","","0","0","0","33","0","0","0","0","","55","","0","0","0","35","0","","","","","","","0","53","0","0","","","","","","","","","","","0","","","","","0","0","0","72","0","0","","","","","","","","","","","0","","","","","","0","","","","","","0","","","","","","","","","","","","","","","","","0","0","","0","0","","0","","16","0","0","121","","88","0","","27","","","","","0","99","","0","0","0","0","51","","0","0","0","166","","","","","","","","","132","","","","","","","","","","","","238","0","0","","","0","72","","0","","43","0","0","","0","","22","0","","","","0","0","0","0","","0","0","0","0","0","0","0","195","","","0","87","80","0","0","329","77","26","","0","65","","0","","","","","","","","","","0","54","0","","","","0","","","","0","","","","0","","52","","","94","","","","","62","","","119","","","","","0","77","48","37","","0","","0","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","242","","","","","","","0","22","0","0","","0","","0","","0","0","0","302","","","","0","0","0","46","0","","","","","","0","","","","","",""
"American","","","","","","","","","27707","","","","36123","32532","","32191","","","","","","","18671","23600","","","18819","","","","20753","17286","15026","","","20274","15856","12438","","16068","","","","","15752","","","18822","18526","","37823","","24879","","29954","","31916","22967","","","39620","23731","","","","","","27461","26233","26462","20135","17968","","23553","22786","","","","23977","25879","","18222","25464","17909","27729","23869","45396","19305","","47437","","","49401","","","58053","","64503","112494","115825","64468","41651","52742","50579","73143","","69219","","105763","59366","35771","59779","36003","","","","","","","32925","27089","47167","29228","","","","","","","","","","","48279","","","","","17369","16767","15583","18133","20332","22265","","","","","","","","","","","73647","","","","","","40153","","","","","","38582","","","","","","","","","","","","","","","","","37259","27906","","33975","40791","","19025","","27016","21624","22418","20729","","19263","29575","","34857","","","","","36940","32116","","31949","25558","33340","35357","59695","","21410","21741","19225","12706","","","","","","","","","38902","","","","","","","","","","","","22066","38799","25512","","","30898","25932","","24956","","25327","14845","32060","","16085","","22360","19888","","","","36530","18129","31093","27859","","13749","20996","35179","30998","19942","35281","44435","26141","","","29609","49599","41787","35767","35829","53194","27878","39284","","32615","20734","","44435","","","","","","","","","","41046","62736","45172","","","","24802","","","","30381","","","","19959","","40503","","","51030","","","","","34548","","","24688","","","","","20147","28734","18386","28486","","45023","","46389","","22850","","","","","22683","","","","","","","","","","","","","","","","","","","","","","60831","52096","","","23240","","","","","","","","","","","","","","","","","38165","","","","","","","","","","","","","22133","","","","","","","73174","69771","38693","35599","","58731","","20946","","38621","21856","22852","24319","","","","30815","22020","28147","17775","33796","","","","","","12692","","","","","",""
"Arab","","","","","","","","","5970","","","","6492","5305","","8624","","","","","","","5726","6476","","","7005","","","","8366","6734","7567","","","9758","5051","5110","","6476","","","","","3979","","","8516","6150","","11038","","11532","","2785","","12059","4124","","","9780","9626","","","","","","15299","14023","6062","11973","21166","","4867","4794","","","","7041","2345","","2789","3305","6047","6347","5795","6595","7613","","2748","","","11350","","","3223","","5795","5973","4926","7179","5986","10578","8288","3012","","3849","","5347","9194","9157","7849","6967","","","","","","","5627","3573","5338","9515","","","","","","","","","","","2305","","","","","10830","24148","8871","9504","10364","2241","","","","","","","","","","","2811","","","","","","2917","","","","","","2957","","","","","","","","","","","","","","","","","4201","6768","","4202","5271","","10953","","12986","8684","8672","11521","","9461","12434","","1868","","","","","18806","7757","","8410","18469","29145","80966","25692","","4359","3221","4254","3524","","","","","","","","","6405","","","","","","","","","","","","2294","1717","4427","","","4691","3645","","6988","","7630","5885","8641","","17496","","14679","11110","","","","3878","2281","4501","2971","","10629","12088","12797","8200","12352","33823","12897","3751","","","8571","3390","6671","3861","6770","2766","9489","5828","","2558","10114","","10619","","","","","","","","","","5202","7265","3233","","","","10533","","","","12294","","","","8687","","5587","","","4927","","","","","5444","","","2288","","","","","4154","6042","4581","3990","","3518","","4631","","7393","","","","","5477","","","","","","","","","","","","","","","","","","","","","","9523","6564","","","15497","","","","","","","","","","","","","","","","","8380","","","","","","","","","","","","","7838","","","","","","","11194","2007","6981","5153","","4330","","14957","","13859","23359","6462","2503","","","","1336","5499","4894","7595","5873","","","","","","3266","","","","","",""
"Arab > Egyptian","","","","","","","","","1523","","","","387","330","","452","","","","","","","94","523","","","662","","","","470","662","782","","","1466","917","1559","","811","","","","","62","","","2375","785","","1679","","1660","","700","","2527","1599","","","2051","4460","","","","","","4144","110","543","2365","953","","367","303","","","","347","0","","147","89","685","358","611","2229","447","","818","","","1185","","","306","","780","743","2811","2748","604","1704","210","92","","1587","","387","895","775","204","1753","","","","","","","329","448","545","1695","","","","","","","","","","","180","","","","","979","1582","3961","480","330","385","","","","","","","","","","","324","","","","","","494","","","","","","177","","","","","","","","","","","","","","","","","430","2704","","258","751","","958","","1907","2061","826","1049","","1081","195","","83","","","","","1852","308","","256","448","1814","202","39","","399","529","1465","372","","","","","","","","","455","","","","","","","","","","","","0","101","384","","","698","400","","2100","","1855","2259","3498","","2204","","3058","6123","","","","1261","415","1164","1166","","3756","1913","1184","1079","1915","13907","2328","578","","","1705","613","1646","346","304","272","764","364","","356","1006","","1943","","","","","","","","","","350","1705","217","","","","644","","","","2281","","","","694","","491","","","648","","","","","1063","","","250","","","","","1069","1237","1831","871","","429","","771","","386","","","","","209","","","","","","","","","","","","","","","","","","","","","","1753","2573","","","1901","","","","","","","","","","","","","","","","","2168","","","","","","","","","","","","","416","","","","","","","2578","232","1051","1036","","784","","1596","","4485","4878","2164","186","","","","302","1511","705","1189","1290","","","","","","325","","","","","",""
"Arab > Iraqi","","","","","","","","","850","","","","632","242","","3968","","","","","","","39","1340","","","1735","","","","62","42","123","","","23","75","52","","100","","","","","41","","","303","0","","1303","","256","","45","","180","0","","","493","180","","","","","","521","5941","707","1380","12053","","231","393","","","","296","0","","42","446","102","72","28","0","271","","171","","","319","","","0","","267","0","0","94","122","0","0","158","","50","","0","0","1243","48","447","","","","","","","1722","157","911","697","","","","","","","","","","","312","","","","","574","771","451","1299","3393","60","","","","","","","","","","","0","","","","","","48","","","","","","164","","","","","","","","","","","","","","","","","306","669","","0","43","","535","","440","335","142","328","","336","0","","0","","","","","741","408","","2254","9428","13017","4366","1276","","95","0","0","851","","","","","","","","","62","","","","","","","","","","","","97","0","523","","","0","169","","47","","23","0","0","","169","","173","28","","","","170","0","202","172","","0","976","80","51","77","406","1822","0","","","624","62","0","265","1222","0","934","0","","112","160","","133","","","","","","","","","","0","526","0","","","","312","","","","0","","","","301","","191","","","50","","","","","361","","","74","","","","","0","0","44","0","","199","","46","","605","","","","","658","","","","","","","","","","","","","","","","","","","","","","1271","335","","","1989","","","","","","","","","","","","","","","","","453","","","","","","","","","","","","","264","","","","","","","1433","0","229","34","","303","","283","","935","887","416","450","","","","0","426","2309","1806","483","","","","","","874","","","","","",""
"Arab > Jordanian","","","","","","","","","391","","","","56","220","","2460","","","","","","","465","0","","","365","","","","173","0","0","","","904","54","485","","24","","","","","49","","","467","255","","648","","607","","90","","547","96","","","415","931","","","","","","304","1126","195","147","269","","237","0","","","","0","266","","0","0","68","78","0","182","134","","85","","","111","","","53","","733","0","0","0","43","1453","163","84","","0","","125","229","1220","0","0","","","","","","","0","0","0","173","","","","","","","","","","","13","","","","","656","4854","194","392","1110","72","","","","","","","","","","","76","","","","","","546","","","","","","62","","","","","","","","","","","","","","","","","215","387","","89","77","","327","","204","0","40","218","","95","94","","0","","","","","1020","1196","","142","506","879","785","115","","220","0","0","40","","","","","","","","","249","","","","","","","","","","","","0","57","50","","","0","695","","88","","101","196","0","","1572","","3120","0","","","","0","129","44","0","","0","241","0","0","0","462","238","0","","","1914","0","1105","68","1258","148","260","0","","261","339","","280","","","","","","","","","","222","103","0","","","","619","","","","1621","","","","116","","86","","","256","","","","","175","","","172","","","","","0","0","0","68","","108","","0","","213","","","","","0","","","","","","","","","","","","","","","","","","","","","","467","940","","","1780","","","","","","","","","","","","","","","","","2503","","","","","","","","","","","","","315","","","","","","","0","0","0","0","","486","","118","","421","2032","401","0","","","","0","262","0","278","1210","","","","","","360","","","","","",""
"Arab > Lebanese","","","","","","","","","2436","","","","2388","1510","","668","","","","","","","1661","2447","","","895","","","","1313","1900","1410","","","1964","1363","816","","1436","","","","","1160","","","1839","3305","","4168","","2507","","1279","","3572","894","","","1990","2189","","","","","","2845","1972","1410","4630","1712","","1166","1259","","","","827","715","","852","1037","1738","1860","2842","1084","3341","","943","","","2462","","","1157","","2209","2353","668","2220","2362","2545","1431","1561","","1535","","2606","4315","2349","1766","1224","","","","","","","1145","851","1832","438","","","","","","","","","","","705","","","","","2789","1657","5741","1491","2344","428","","","","","","","","","","","350","","","","","","846","","","","","","1400","","","","","","","","","","","","","","","","","508","943","","895","1009","","1925","","6752","4400","4628","3334","","3243","8384","","1151","","","","","6739","3270","","2826","3214","5309","38134","4564","","3099","1172","1745","1270","","","","","","","","","918","","","","","","","","","","","","710","1458","926","","","2663","593","","874","","1711","714","2084","","2305","","2339","1431","","","","739","461","659","650","","2818","2472","1289","673","3098","2862","4544","1500","","","1441","651","1350","1238","1980","1740","3966","1856","","936","4278","","3345","","","","","","","","","","1187","1343","1304","","","","1194","","","","6224","","","","3482","","2050","","","1785","","","","","824","","","531","","","","","1589","808","400","835","","1648","","524","","2209","","","","","2416","","","","","","","","","","","","","","","","","","","","","","2185","764","","","3497","","","","","","","","","","","","","","","","","1500","","","","","","","","","","","","","2070","","","","","","","3090","1090","720","1324","","1184","","3133","","1708","5530","517","942","","","","296","1482","737","452","1368","","","","","","454","","","","","",""
